StudentID,Major,Credits,GPA,Address.Street,Address.City,Address.State,Address.Zip,Address
1000062,REL,45,3.49,3477 S St,Annville,PA,17003,"3477 S St, Annville, PA 17003"
1000063,ASC,30,3.05,8369 V St,Annville,PA,17003,"8369 V St, Annville, PA 17003"
1000064,PHL,74,2.94,4853 D St,Annville,PA,17003,"4853 D St, Annville, PA 17003"
1000065,EDU,45,2.27,2260 D St,Annville,PA,17003,"2260 D St, Annville, PA 17003"
1000066,BIO,74,2.84,5721 I St,Annville,PA,17003,"5721 I St, Annville, PA 17003"
1000067,EDU,17,3.20,6454 Q St,Annville,PA,17003,"6454 Q St, Annville, PA 17003"
1000068,PSY,88,3.80,5488 S St,Annville,PA,17003,"5488 S St, Annville, PA 17003"
1000069,REL,72,3.75,1362 E St,Annville,PA,17003,"1362 E St, Annville, PA 17003"
1000070,BUS,44,2.24,5605 W St,Annville,PA,17003,"5605 W St, Annville, PA 17003"
1000071,MSC,101,3.43,6011 V St,Annville,PA,17003,"6011 V St, Annville, PA 17003"
1000072,ASC,85,3.38,8164 X St,Annville,PA,17003,"8164 X St, Annville, PA 17003"
1000073,EDU,29,3.63,8594 U St,Annville,PA,17003,"8594 U St, Annville, PA 17003"
1000074,EDU,72,2.76,1363 Q St,Annville,PA,17003,"1363 Q St, Annville, PA 17003"
1000075,MSC,87,4.00,1304 M St,Annville,PA,17003,"1304 M St, Annville, PA 17003"
1000076,PSY,87,3.81,3773 E St,Annville,PA,17003,"3773 E St, Annville, PA 17003"
1000077,EDU,100,4.00,6519 P St,Annville,PA,17003,"6519 P St, Annville, PA 17003"
1000078,BIO,31,3.19,9328 E St,Annville,PA,17003,"9328 E St, Annville, PA 17003"
1000079,BUS,57,3.87,5567 J St,Annville,PA,17003,"5567 J St, Annville, PA 17003"
1000080,EDU,88,3.25,6912 O St,Annville,PA,17003,"6912 O St, Annville, PA 17003"
1000081,ACT,86,2.73,157 K St,Annville,PA,17003,"157 K St, Annville, PA 17003"
1000082,BIO,29,3.20,1657 D St,Annville,PA,17003,"1657 D St, Annville, PA 17003"
1000083,ACT,59,3.63,8749 J St,Annville,PA,17003,"8749 J St, Annville, PA 17003"
1000084,CDS,73,1.93,7370 T St,Annville,PA,17003,"7370 T St, Annville, PA 17003"
1000085,EDU,72,3.93,4928 T St,Annville,PA,17003,"4928 T St, Annville, PA 17003"
1000086,BIO,73,3.01,8355 H St,Annville,PA,17003,"8355 H St, Annville, PA 17003"
1000087,ECN,45,2.77,2918 O St,Annville,PA,17003,"2918 O St, Annville, PA 17003"
1000088,PHL,99,2.87,2201 E St,Annville,PA,17003,"2201 E St, Annville, PA 17003"
1000089,EDU,17,2.95,2451 R St,Annville,PA,17003,"2451 R St, Annville, PA 17003"
1000090,BIO,74,3.38,1600 Y St,Annville,PA,17003,"1600 Y St, Annville, PA 17003"
1000091,BIO,100,3.30,7286 Z St,Annville,PA,17003,"7286 Z St, Annville, PA 17003"
1000092,PSY,74,3.33,253 T St,Annville,PA,17003,"253 T St, Annville, PA 17003"
1000093,MSC,59,3.75,8099 G St,Annville,PA,17003,"8099 G St, Annville, PA 17003"
1000094,EDU,30,3.88,2408 Y St,Annville,PA,17003,"2408 Y St, Annville, PA 17003"
1000095,BIO,59,3.27,6883 B St,Annville,PA,17003,"6883 B St, Annville, PA 17003"
1000096,BUS,59,2.78,3559 J St,Annville,PA,17003,"3559 J St, Annville, PA 17003"
1000097,PSY,43,2.80,5899 D St,Annville,PA,17003,"5899 D St, Annville, PA 17003"
1000098,MSC,16,3.19,4121 H St,Annville,PA,17003,"4121 H St, Annville, PA 17003"
1000099,EDU,59,3.45,7952 S St,Annville,PA,17003,"7952 S St, Annville, PA 17003"
1000100,ENG,87,3.57,4157 V St,Annville,PA,17003,"4157 V St, Annville, PA 17003"
1000101,FRN,46,3.84,4907 U St,Annville,PA,17003,"4907 U St, Annville, PA 17003"
1000102,BIO,72,2.63,6801 Q St,Annville,PA,17003,"6801 Q St, Annville, PA 17003"
1000103,EDU,74,3.05,9657 M St,Annville,PA,17003,"9657 M St, Annville, PA 17003"
1000104,EDU,99,2.96,807 J St,Annville,PA,17003,"807 J St, Annville, PA 17003"
1000105,EDU,31,2.92,2653 N St,Annville,PA,17003,"2653 N St, Annville, PA 17003"
1000106,BUS,87,2.15,6431 M St,Annville,PA,17003,"6431 M St, Annville, PA 17003"
1000107,BUS,100,2.19,1459 A St,Annville,PA,17003,"1459 A St, Annville, PA 17003"
1000108,PSY,31,2.64,201 Z St,Annville,PA,17003,"201 Z St, Annville, PA 17003"
1000109,PSY,100,3.34,3759 R St,Annville,PA,17003,"3759 R St, Annville, PA 17003"
1000110,ACT,72,2.94,5035 X St,Annville,PA,17003,"5035 X St, Annville, PA 17003"
1000111,EDU,87,2.78,7855 V St,Annville,PA,17003,"7855 V St, Annville, PA 17003"
1000112,EDU,16,3.62,3014 D St,Annville,PA,17003,"3014 D St, Annville, PA 17003"
1000113,ENG,17,3.40,6769 B St,Annville,PA,17003,"6769 B St, Annville, PA 17003"
1000114,ECN,46,2.84,2618 B St,Annville,PA,17003,"2618 B St, Annville, PA 17003"
1000115,GLB,14,3.27,7947 P St,Annville,PA,17003,"7947 P St, Annville, PA 17003"
1000116,ASC,42,2.81,5049 W St,Annville,PA,17003,"5049 W St, Annville, PA 17003"
1000117,PSY,45,2.67,3367 U St,Annville,PA,17003,"3367 U St, Annville, PA 17003"
1000118,EDU,31,3.76,1947 O St,Annville,PA,17003,"1947 O St, Annville, PA 17003"
1000119,PHL,73,3.11,4969 V St,Annville,PA,17003,"4969 V St, Annville, PA 17003"
1000120,ASC,44,3.03,7130 B St,Annville,PA,17003,"7130 B St, Annville, PA 17003"
1000121,CDS,30,3.00,8630 L St,Annville,PA,17003,"8630 L St, Annville, PA 17003"
1000122,MSC,15,3.87,3179 L St,Annville,PA,17003,"3179 L St, Annville, PA 17003"
1000123,MSC,45,3.09,9513 S St,Annville,PA,17003,"9513 S St, Annville, PA 17003"
1000124,MSC,31,3.32,5882 X St,Annville,PA,17003,"5882 X St, Annville, PA 17003"
1000125,CHM,59,3.16,6662 B St,Annville,PA,17003,"6662 B St, Annville, PA 17003"
1000126,BIO,43,2.54,63 H St,Annville,PA,17003,"63 H St, Annville, PA 17003"
1000127,CHM,87,2.41,2569 U St,Annville,PA,17003,"2569 U St, Annville, PA 17003"
1000128,PSY,17,3.61,4614 S St,Annville,PA,17003,"4614 S St, Annville, PA 17003"
1000129,FRN,87,3.36,6475 O St,Annville,PA,17003,"6475 O St, Annville, PA 17003"
1000130,EDU,60,4.00,7050 T St,Annville,PA,17003,"7050 T St, Annville, PA 17003"
1000131,BUS,17,3.35,5838 R St,Annville,PA,17003,"5838 R St, Annville, PA 17003"
1000132,BIO,45,2.32,9436 A St,Annville,PA,17003,"9436 A St, Annville, PA 17003"
1000133,BIO,85,3.14,6403 R St,Annville,PA,17003,"6403 R St, Annville, PA 17003"
1000134,GLB,86,2.74,8932 N St,Annville,PA,17003,"8932 N St, Annville, PA 17003"
1000135,BIO,73,2.97,8479 C St,Annville,PA,17003,"8479 C St, Annville, PA 17003"
1000136,GLB,73,3.11,6936 M St,Annville,PA,17003,"6936 M St, Annville, PA 17003"
1000137,PHY,102,3.10,1176 H St,Annville,PA,17003,"1176 H St, Annville, PA 17003"
1000138,BUS,30,2.88,4228 W St,Annville,PA,17003,"4228 W St, Annville, PA 17003"
1000139,EDU,72,3.81,9202 R St,Annville,PA,17003,"9202 R St, Annville, PA 17003"
1000140,EDU,59,4.00,9754 S St,Annville,PA,17003,"9754 S St, Annville, PA 17003"
1000141,MSC,44,3.12,2084 Z St,Annville,PA,17003,"2084 Z St, Annville, PA 17003"
1000142,MSC,86,3.20,5381 D St,Annville,PA,17003,"5381 D St, Annville, PA 17003"
1000143,EDU,100,3.55,859 W St,Annville,PA,17003,"859 W St, Annville, PA 17003"
1000144,HIS,16,3.13,1769 Z St,Annville,PA,17003,"1769 Z St, Annville, PA 17003"
1000145,EDU,99,3.08,5858 P St,Annville,PA,17003,"5858 P St, Annville, PA 17003"
1000146,PSY,32,2.92,4138 B St,Annville,PA,17003,"4138 B St, Annville, PA 17003"
1000147,MSC,100,2.89,8823 C St,Annville,PA,17003,"8823 C St, Annville, PA 17003"
1000148,CHM,44,2.30,6483 O St,Annville,PA,17003,"6483 O St, Annville, PA 17003"
1000149,MAS,46,2.61,6480 H St,Annville,PA,17003,"6480 H St, Annville, PA 17003"
1000150,BUS,32,2.22,3236 P St,Annville,PA,17003,"3236 P St, Annville, PA 17003"
1000151,PHL,31,3.14,9695 Q St,Annville,PA,17003,"9695 Q St, Annville, PA 17003"
1000152,EDU,73,3.03,7614 W St,Annville,PA,17003,"7614 W St, Annville, PA 17003"
1000153,ACT,30,2.66,1842 F St,Annville,PA,17003,"1842 F St, Annville, PA 17003"
1000154,PSY,87,2.63,5642 Q St,Annville,PA,17003,"5642 Q St, Annville, PA 17003"
1000155,BIO,45,2.93,3930 J St,Annville,PA,17003,"3930 J St, Annville, PA 17003"
1000156,EDU,31,3.74,6349 S St,Annville,PA,17003,"6349 S St, Annville, PA 17003"
1000157,BUS,58,2.45,5290 Q St,Annville,PA,17003,"5290 Q St, Annville, PA 17003"
1000158,EDU,18,3.38,9755 Q St,Annville,PA,17003,"9755 Q St, Annville, PA 17003"
1000159,EDU,31,3.20,30 K St,Annville,PA,17003,"30 K St, Annville, PA 17003"
1000160,CDS,16,2.52,2421 B St,Annville,PA,17003,"2421 B St, Annville, PA 17003"
1000161,CDS,59,2.38,5101 O St,Annville,PA,17003,"5101 O St, Annville, PA 17003"
1000162,BUS,17,2.97,2676 V St,Annville,PA,17003,"2676 V St, Annville, PA 17003"
1000163,MSC,45,3.17,207 F St,Annville,PA,17003,"207 F St, Annville, PA 17003"
1000164,MSC,101,3.04,9209 F St,Annville,PA,17003,"9209 F St, Annville, PA 17003"
1000165,ENG,72,3.32,920 X St,Annville,PA,17003,"920 X St, Annville, PA 17003"
1000166,ACT,45,3.01,549 K St,Annville,PA,17003,"549 K St, Annville, PA 17003"
1000167,BIO,102,3.24,3066 J St,Annville,PA,17003,"3066 J St, Annville, PA 17003"
1000168,SPA,84,4.00,2283 L St,Annville,PA,17003,"2283 L St, Annville, PA 17003"
1000169,EDU,17,3.15,667 B St,Annville,PA,17003,"667 B St, Annville, PA 17003"
1000170,POL,30,3.58,4671 R St,Annville,PA,17003,"4671 R St, Annville, PA 17003"
1000171,MAS,73,2.76,3555 D St,Annville,PA,17003,"3555 D St, Annville, PA 17003"
1000172,ASC,73,3.19,8685 E St,Annville,PA,17003,"8685 E St, Annville, PA 17003"
1000173,BUS,100,2.96,1008 S St,Annville,PA,17003,"1008 S St, Annville, PA 17003"
1000174,BIO,33,3.21,6603 E St,Annville,PA,17003,"6603 E St, Annville, PA 17003"
1000175,BUS,45,3.44,9781 P St,Annville,PA,17003,"9781 P St, Annville, PA 17003"
1000176,BUS,72,2.70,3690 Y St,Annville,PA,17003,"3690 Y St, Annville, PA 17003"
1000177,BUS,84,2.96,310 C St,Annville,PA,17003,"310 C St, Annville, PA 17003"
1000178,ACT,61,2.80,4911 H St,Annville,PA,17003,"4911 H St, Annville, PA 17003"
1000179,EDU,86,3.68,1106 D St,Annville,PA,17003,"1106 D St, Annville, PA 17003"
1000180,BIO,15,2.77,2728 G St,Annville,PA,17003,"2728 G St, Annville, PA 17003"
1000181,EDU,100,3.15,7262 S St,Annville,PA,17003,"7262 S St, Annville, PA 17003"
1000182,ASC,100,3.14,6137 P St,Annville,PA,17003,"6137 P St, Annville, PA 17003"
1000183,POL,100,2.55,7711 T St,Annville,PA,17003,"7711 T St, Annville, PA 17003"
1000184,PSY,44,3.81,6008 U St,Annville,PA,17003,"6008 U St, Annville, PA 17003"
1000185,EDU,101,3.63,8156 L St,Annville,PA,17003,"8156 L St, Annville, PA 17003"
1000186,CHM,71,3.00,8315 G St,Annville,PA,17003,"8315 G St, Annville, PA 17003"
1000187,PSY,30,3.26,9533 X St,Annville,PA,17003,"9533 X St, Annville, PA 17003"
1000188,ECN,85,2.93,3484 N St,Annville,PA,17003,"3484 N St, Annville, PA 17003"
1000189,EDU,16,3.70,8864 X St,Annville,PA,17003,"8864 X St, Annville, PA 17003"
1000190,PSY,58,3.94,8415 T St,Annville,PA,17003,"8415 T St, Annville, PA 17003"
1000191,EDU,87,2.96,4076 L St,Annville,PA,17003,"4076 L St, Annville, PA 17003"
1000192,EDU,101,3.82,8338 K St,Annville,PA,17003,"8338 K St, Annville, PA 17003"
1000193,ENG,73,3.66,9595 P St,Annville,PA,17003,"9595 P St, Annville, PA 17003"
1000194,EDU,59,2.98,7777 O St,Annville,PA,17003,"7777 O St, Annville, PA 17003"
1000195,EDU,15,2.70,6544 W St,Annville,PA,17003,"6544 W St, Annville, PA 17003"
1000196,CDS,61,2.67,7940 O St,Annville,PA,17003,"7940 O St, Annville, PA 17003"
1000197,MSC,17,4.00,3445 S St,Annville,PA,17003,"3445 S St, Annville, PA 17003"
1000198,SPA,17,2.67,940 P St,Annville,PA,17003,"940 P St, Annville, PA 17003"
1000199,SPA,32,3.70,6923 D St,Annville,PA,17003,"6923 D St, Annville, PA 17003"
1000200,MSC,29,3.88,3559 Y St,Annville,PA,17003,"3559 Y St, Annville, PA 17003"
1000201,EDU,30,3.45,6588 E St,Annville,PA,17003,"6588 E St, Annville, PA 17003"
1000202,PSY,72,2.60,2497 A St,Annville,PA,17003,"2497 A St, Annville, PA 17003"
1000203,CDS,86,2.45,1043 S St,Annville,PA,17003,"1043 S St, Annville, PA 17003"
1000204,MSC,45,3.96,9869 J St,Annville,PA,17003,"9869 J St, Annville, PA 17003"
1000205,PSY,17,3.10,1860 T St,Annville,PA,17003,"1860 T St, Annville, PA 17003"
1000206,MAS,17,2.38,952 H St,Annville,PA,17003,"952 H St, Annville, PA 17003"
1000207,BUS,102,3.24,621 J St,Annville,PA,17003,"621 J St, Annville, PA 17003"
1000208,HIS,29,2.95,5963 E St,Annville,PA,17003,"5963 E St, Annville, PA 17003"
1000209,ASC,16,3.28,1260 Q St,Annville,PA,17003,"1260 Q St, Annville, PA 17003"
1000210,REL,86,2.56,855 Z St,Annville,PA,17003,"855 Z St, Annville, PA 17003"
1000211,MSC,88,3.82,6271 N St,Annville,PA,17003,"6271 N St, Annville, PA 17003"
1000212,BIO,44,3.15,9916 X St,Annville,PA,17003,"9916 X St, Annville, PA 17003"
1000213,MSC,87,4.00,9585 A St,Annville,PA,17003,"9585 A St, Annville, PA 17003"
1000214,GLB,87,3.13,1046 O St,Annville,PA,17003,"1046 O St, Annville, PA 17003"
1000215,ASC,17,2.07,7848 D St,Annville,PA,17003,"7848 D St, Annville, PA 17003"
1000216,CHM,31,3.87,4673 K St,Annville,PA,17003,"4673 K St, Annville, PA 17003"
1000217,HIS,72,3.92,8822 C St,Annville,PA,17003,"8822 C St, Annville, PA 17003"
1000218,REL,72,2.25,2408 Q St,Annville,PA,17003,"2408 Q St, Annville, PA 17003"
1000219,BIO,15,2.44,2625 F St,Annville,PA,17003,"2625 F St, Annville, PA 17003"
1000220,REL,87,3.01,5459 C St,Annville,PA,17003,"5459 C St, Annville, PA 17003"
1000221,EDU,29,3.38,3460 I St,Annville,PA,17003,"3460 I St, Annville, PA 17003"
1000222,MSC,59,3.62,6440 Q St,Annville,PA,17003,"6440 Q St, Annville, PA 17003"
1000223,ASC,87,2.63,7489 J St,Annville,PA,17003,"7489 J St, Annville, PA 17003"
1000224,BIO,87,3.00,4890 F St,Annville,PA,17003,"4890 F St, Annville, PA 17003"
1000225,MSC,15,3.58,413 Y St,Annville,PA,17003,"413 Y St, Annville, PA 17003"
1000226,ACT,45,3.14,893 S St,Annville,PA,17003,"893 S St, Annville, PA 17003"
1000227,BIO,57,3.24,5148 U St,Annville,PA,17003,"5148 U St, Annville, PA 17003"
1000228,ASC,100,2.62,1641 V St,Annville,PA,17003,"1641 V St, Annville, PA 17003"
1000229,MSC,99,3.12,1129 Z St,Annville,PA,17003,"1129 Z St, Annville, PA 17003"
1000230,BIO,45,2.56,4344 R St,Annville,PA,17003,"4344 R St, Annville, PA 17003"
1000231,MSC,58,3.31,4459 X St,Annville,PA,17003,"4459 X St, Annville, PA 17003"
1000232,EDU,15,2.61,9516 D St,Annville,PA,17003,"9516 D St, Annville, PA 17003"
1000233,ASC,86,3.18,3315 X St,Annville,PA,17003,"3315 X St, Annville, PA 17003"
1000234,PSY,58,2.81,4024 D St,Annville,PA,17003,"4024 D St, Annville, PA 17003"
1000235,PSY,100,2.93,7985 C St,Annville,PA,17003,"7985 C St, Annville, PA 17003"
1000236,ACT,102,3.53,8998 M St,Annville,PA,17003,"8998 M St, Annville, PA 17003"
1000237,PHY,43,2.96,8241 I St,Annville,PA,17003,"8241 I St, Annville, PA 17003"
1000238,BUS,16,2.72,7217 V St,Annville,PA,17003,"7217 V St, Annville, PA 17003"
1000239,ASC,101,2.87,5683 I St,Annville,PA,17003,"5683 I St, Annville, PA 17003"
1000240,EDU,17,3.05,5149 G St,Annville,PA,17003,"5149 G St, Annville, PA 17003"
1000241,ASC,33,2.91,7518 V St,Annville,PA,17003,"7518 V St, Annville, PA 17003"
1000242,PSY,58,3.77,9027 B St,Annville,PA,17003,"9027 B St, Annville, PA 17003"
1000243,EDU,101,3.37,4635 V St,Annville,PA,17003,"4635 V St, Annville, PA 17003"
1000244,EDU,72,3.41,8682 S St,Annville,PA,17003,"8682 S St, Annville, PA 17003"
1000245,EDU,16,3.23,8035 R St,Annville,PA,17003,"8035 R St, Annville, PA 17003"
1000246,BUS,88,2.92,9635 T St,Annville,PA,17003,"9635 T St, Annville, PA 17003"
1000247,MSC,31,3.20,429 O St,Annville,PA,17003,"429 O St, Annville, PA 17003"
1000248,HIS,101,3.17,6512 C St,Annville,PA,17003,"6512 C St, Annville, PA 17003"
1000249,ACT,74,3.17,7640 Q St,Annville,PA,17003,"7640 Q St, Annville, PA 17003"
1000250,EDU,29,2.44,3078 Q St,Annville,PA,17003,"3078 Q St, Annville, PA 17003"
1000251,BUS,30,2.52,1288 B St,Annville,PA,17003,"1288 B St, Annville, PA 17003"
1000252,ECN,18,2.89,2371 H St,Annville,PA,17003,"2371 H St, Annville, PA 17003"
1000253,CDS,16,3.02,1764 P St,Annville,PA,17003,"1764 P St, Annville, PA 17003"
1000254,EDU,100,3.68,7030 X St,Annville,PA,17003,"7030 X St, Annville, PA 17003"
1000255,MSC,43,3.06,3280 F St,Annville,PA,17003,"3280 F St, Annville, PA 17003"
1000256,BUS,29,2.84,8612 S St,Annville,PA,17003,"8612 S St, Annville, PA 17003"
1000257,EDU,45,3.44,3513 G St,Annville,PA,17003,"3513 G St, Annville, PA 17003"
1000258,EDU,57,2.96,3303 E St,Annville,PA,17003,"3303 E St, Annville, PA 17003"
1000259,EDU,15,3.24,534 M St,Annville,PA,17003,"534 M St, Annville, PA 17003"
1000260,PSY,30,2.94,6321 V St,Annville,PA,17003,"6321 V St, Annville, PA 17003"
1000261,PSY,73,3.56,7452 G St,Annville,PA,17003,"7452 G St, Annville, PA 17003"
1000262,POL,73,3.87,4597 G St,Annville,PA,17003,"4597 G St, Annville, PA 17003"
1000263,ASC,17,2.62,977 T St,Annville,PA,17003,"977 T St, Annville, PA 17003"
1000264,EDU,30,3.79,2454 C St,Annville,PA,17003,"2454 C St, Annville, PA 17003"
1000265,SPA,101,3.63,8181 N St,Annville,PA,17003,"8181 N St, Annville, PA 17003"
1000266,MSC,60,3.57,6558 C St,Annville,PA,17003,"6558 C St, Annville, PA 17003"
1000267,BUS,86,3.16,7332 R St,Annville,PA,17003,"7332 R St, Annville, PA 17003"
1000268,POL,72,3.00,711 L St,Annville,PA,17003,"711 L St, Annville, PA 17003"
1000269,POL,17,2.78,151 U St,Annville,PA,17003,"151 U St, Annville, PA 17003"
1000270,EDU,100,4.00,8154 D St,Annville,PA,17003,"8154 D St, Annville, PA 17003"
1000271,BUS,87,3.41,9736 F St,Annville,PA,17003,"9736 F St, Annville, PA 17003"
1000272,EDU,15,3.55,8695 S St,Annville,PA,17003,"8695 S St, Annville, PA 17003"
1000273,BUS,30,2.83,917 U St,Annville,PA,17003,"917 U St, Annville, PA 17003"
1000274,BUS,44,3.06,7324 U St,Annville,PA,17003,"7324 U St, Annville, PA 17003"
1000275,ENG,32,2.81,9403 O St,Annville,PA,17003,"9403 O St, Annville, PA 17003"
1000276,CDS,57,2.78,3267 Q St,Annville,PA,17003,"3267 Q St, Annville, PA 17003"
1000277,ACT,70,3.33,786 T St,Annville,PA,17003,"786 T St, Annville, PA 17003"
1000278,ACT,17,3.23,7918 M St,Annville,PA,17003,"7918 M St, Annville, PA 17003"
1000279,EDU,31,3.48,6866 D St,Annville,PA,17003,"6866 D St, Annville, PA 17003"
1000280,ENG,43,3.49,1829 H St,Annville,PA,17003,"1829 H St, Annville, PA 17003"
1000281,HIS,102,3.42,9763 P St,Annville,PA,17003,"9763 P St, Annville, PA 17003"
1000282,EDU,86,3.97,994 R St,Annville,PA,17003,"994 R St, Annville, PA 17003"
1000283,SPA,100,3.17,3231 J St,Annville,PA,17003,"3231 J St, Annville, PA 17003"
1000284,ENG,32,3.58,8485 B St,Annville,PA,17003,"8485 B St, Annville, PA 17003"
1000285,BIO,86,3.25,3274 U St,Annville,PA,17003,"3274 U St, Annville, PA 17003"
1000286,ASC,18,3.59,9380 W St,Annville,PA,17003,"9380 W St, Annville, PA 17003"
1000287,HIS,87,3.54,2206 T St,Annville,PA,17003,"2206 T St, Annville, PA 17003"
1000288,BIO,88,2.67,7125 A St,Annville,PA,17003,"7125 A St, Annville, PA 17003"
1000289,BUS,73,3.25,8626 W St,Annville,PA,17003,"8626 W St, Annville, PA 17003"
